,cut,color,clarity,depth,table
0,3,2,8,62.0,58.0
1,3,7,2,62.4,58.0
2,3,7,3,59.3,60.0
3,4,6,7,61.4,57.0
4,4,6,5,62.3,54.0
5,5,2,6,61.7,58.0
6,5,6,3,59.0,59.0
7,4,4,7,61.9,56.0
8,2,5,2,62.9,55.0
9,4,1,4,61.3,57.0
10,4,4,5,61.3,55.0
11,3,7,6,62.7,59.0
12,4,6,3,62.2,53.9
13,4,2,5,60.5,56.0
14,4,3,7,61.6,55.0
15,2,4,6,58.2,55.0
16,3,2,5,60.6,59.0
17,5,1,5,60.1,60.0
18,4,1,5,62.8,54.3
19,1,5,5,60.0,64.0
20,4,2,4,61.6,56.0
21,4,4,6,61.4,55.0
22,2,1,4,63.9,58.0
23,4,4,2,62.7,56.0
24,5,4,5,59.4,59.0
25,4,3,1,61.5,57.0
26,5,4,4,62.4,59.0
27,5,3,6,59.8,57.0
28,5,4,6,59.7,58.0
29,2,6,7,58.0,60.0
30,5,3,2,59.9,60.0
31,5,4,4,61.6,58.0
32,3,5,3,59.8,59.0
33,4,4,6,61.4,57.0
34,3,7,3,61.0,62.0
35,3,5,6,61.4,58.0
36,3,2,2,61.5,54.0
37,3,2,4,60.2,58.0
38,5,3,5,62.6,60.0
39,4,6,5,61.3,56.0
40,5,4,4,59.6,59.0
41,5,2,3,60.5,59.0
42,4,1,3,62.6,55.0
43,2,5,6,58.5,62.0
44,4,2,2,60.9,59.0
45,4,5,2,62.4,54.0
46,5,2,4,62.2,59.0
47,5,4,2,62.1,55.0
48,3,1,4,62.9,54.0
49,5,2,3,62.5,60.0
50,4,6,4,61.8,57.0
51,5,4,4,61.1,58.0
52,4,6,3,62.8,57.0
53,4,2,2,61.6,57.0
54,3,5,6,61.8,58.0
55,5,2,6,59.7,60.0
56,4,2,3,61.4,55.0
57,5,5,3,62.0,58.0
58,4,4,3,62.3,57.0
59,2,5,2,61.2,63.0
60,5,4,4,61.2,58.0
61,4,2,5,61.4,59.0
62,2,3,2,63.4,57.0
63,4,3,3,61.9,58.0
64,5,3,3,61.0,58.0
65,4,4,5,60.4,57.0
66,4,6,6,62.4,54.0
67,3,6,6,62.9,55.0
68,3,7,5,60.5,57.0
69,2,5,8,60.8,60.0
70,4,5,4,60.1,59.0
71,3,1,2,60.5,58.5
72,4,7,4,61.9,59.0
73,4,5,3,62.0,55.0
74,4,4,6,62.0,56.0
75,2,3,5,64.1,57.0
76,5,5,7,59.3,59.0
77,3,4,6,63.0,59.0
78,3,2,4,58.8,57.0
79,5,1,7,61.3,59.0
80,3,2,4,60.9,59.0
81,5,5,5,60.0,60.0
82,5,7,3,58.1,61.0
83,4,3,7,61.4,56.0
84,5,6,4,61.4,58.0
85,4,2,3,60.8,59.0
86,4,1,3,61.9,53.0
87,3,3,8,60.2,61.0
88,5,6,5,59.8,58.0
89,4,4,5,62.1,57.0
90,4,5,4,62.0,56.0
91,1,2,2,68.1,56.0
92,5,5,2,62.8,57.0
93,4,7,3,62.0,57.0
94,4,5,6,62.7,57.0
95,4,2,3,60.6,55.0
96,5,1,4,62.0,59.0
97,5,4,3,61.3,58.0
98,5,6,2,62.9,59.0
99,4,6,6,61.7,56.0
100,3,6,2,59.9,61.0
101,4,1,5,61.7,56.0
102,3,7,3,61.1,63.0
103,4,4,6,61.2,56.0
104,2,4,7,63.4,57.0
105,5,2,4,61.7,59.0
106,4,5,7,61.8,55.0
107,4,7,4,61.7,55.0
108,3,7,2,59.4,60.0
109,4,6,4,60.7,56.0
110,2,3,2,63.6,58.0
111,4,5,6,60.4,57.0
112,5,4,7,58.0,62.0
113,2,4,3,64.0,57.0
114,5,6,2,60.0,60.0
115,5,7,4,61.7,59.0
116,5,2,5,61.0,60.0
117,5,7,6,59.9,61.0
118,2,5,2,63.9,56.0
119,2,7,3,60.4,64.0
120,4,4,5,62.3,55.0
121,5,5,3,61.5,58.0
122,3,6,5,61.9,61.0
123,2,1,5,63.7,56.0
124,4,7,7,62.1,55.0
125,4,7,4,62.7,53.0
126,4,2,3,62.1,58.0
127,4,3,3,59.8,57.0
128,4,5,3,62.3,57.0
129,3,6,3,63.2,54.0
130,2,6,3,63.3,55.0
131,4,2,5,61.8,55.0
132,4,7,3,61.1,56.0
133,3,5,7,59.7,55.0
134,4,6,3,61.1,56.0
135,5,3,3,61.6,58.0
136,3,4,2,59.4,62.0
137,5,7,3,62.8,59.0
138,5,7,3,62.2,52.0
139,5,6,3,61.9,61.0
140,4,5,4,61.7,58.0
141,4,4,2,62.5,57.0
142,4,3,2,58.5,57.0
143,4,4,7,61.4,56.0
144,4,6,8,61.9,56.0
145,4,5,5,61.7,56.0
146,5,5,4,61.6,58.0
147,5,1,4,61.6,61.0
148,2,4,4,63.6,59.0
149,4,4,6,62.7,57.0
150,3,5,6,62.6,59.0
151,5,5,3,60.6,58.0
152,4,2,5,61.8,55.0
153,5,5,3,59.6,58.0
154,5,5,2,62.1,60.0
155,4,3,2,62.4,54.0
156,3,4,5,59.1,58.0
157,4,5,4,62.3,56.0
158,2,6,2,60.9,62.0
159,4,4,2,62.6,56.0
160,2,6,4,61.3,62.0
161,4,6,2,61.7,58.0
162,3,2,3,60.9,59.0
163,5,4,5,60.9,57.0
164,4,6,4,62.6,57.0
165,5,5,4,62.1,60.0
166,4,4,3,60.1,56.0
167,4,4,3,61.3,56.0
168,4,5,3,62.2,56.0
169,1,3,3,64.8,57.0
170,5,6,4,61.3,57.0
171,4,2,5,63.0,55.0
172,4,6,4,62.9,55.0
173,4,3,5,61.8,55.9
174,2,5,3,63.9,57.0
175,5,5,3,61.2,59.0
176,5,3,4,61.0,58.0
177,4,6,6,62.2,54.4
178,2,7,5,59.2,56.0
179,4,7,2,62.7,55.0
180,3,3,3,62.1,57.0
181,5,3,3,62.4,58.0
182,3,4,5,61.1,54.0
183,3,3,2,61.4,57.0
184,3,6,3,63.2,57.0
185,4,6,4,59.5,57.0
186,3,5,5,59.6,63.0
187,4,4,7,61.4,56.0
188,5,5,4,59.6,58.0
189,4,4,5,61.4,56.0
190,3,6,2,62.9,56.0
191,4,5,3,62.4,57.0
192,2,4,4,62.8,54.4
193,3,2,3,63.3,59.0
194,5,4,4,61.3,60.0
195,5,1,1,61.5,59.0
196,4,7,4,60.9,56.0
197,3,7,6,60.0,58.0
198,3,7,2,58.3,61.0
199,3,6,2,60.2,64.0
200,4,4,8,61.0,56.0
201,5,3,2,59.4,62.0
202,5,6,3,60.9,60.0
203,3,4,3,62.8,61.0
204,4,4,3,60.1,57.0
205,3,5,4,60.6,58.0
206,4,6,5,62.6,56.0
207,5,2,5,61.1,59.0
208,4,1,4,62.8,55.0
209,4,4,6,62.1,55.0
210,4,7,4,61.2,54.0
211,2,2,2,63.6,59.0
212,5,6,4,60.6,59.0
213,4,3,3,62.4,56.0
214,5,6,4,61.6,58.0
215,4,7,5,62.1,53.9
216,5,5,5,61.3,59.0
217,3,3,4,63.0,57.0
218,5,4,3,61.4,61.0
219,4,1,3,62.7,57.0
220,3,6,3,63.2,59.0
221,4,4,5,61.3,55.0
222,3,6,5,60.1,57.0
223,4,7,5,61.6,56.0
224,4,2,2,62.5,56.0
225,5,3,5,62.1,57.0
226,2,4,3,63.6,56.0
227,4,7,3,61.6,57.0
228,5,4,4,62.3,57.0
229,4,6,2,62.8,56.0
230,1,7,2,64.6,62.0
231,5,6,3,61.9,56.0
232,3,7,2,61.3,59.0
233,5,5,5,60.8,59.0
234,5,3,2,61.3,57.0
235,3,3,2,62.3,56.0
236,4,3,2,62.0,54.0
237,3,1,3,62.5,57.0
238,3,7,6,62.2,52.0
239,5,4,4,62.0,57.0
240,3,5,2,63.1,57.0
241,4,2,3,62.5,57.0
242,3,3,3,63.3,57.0
243,4,5,6,61.4,57.0
244,4,4,4,61.0,57.0
245,4,5,4,61.1,56.0
246,5,5,3,60.0,60.0
247,5,3,2,60.4,58.0
248,5,3,4,61.1,60.0
249,3,2,7,63.5,57.0
250,3,4,6,61.3,56.0
251,2,5,2,59.0,60.0
252,5,4,5,61.1,56.0
253,4,4,6,62.6,55.0
254,5,4,5,59.3,62.0
255,5,7,3,60.7,58.0
256,5,3,6,59.1,60.0
257,4,5,5,60.2,56.0
258,4,4,4,61.6,57.0
259,4,7,6,61.9,57.0
260,3,5,4,60.6,55.0
261,5,5,3,62.1,59.0
262,4,3,6,62.1,56.0
263,4,3,6,61.5,57.0
264,2,4,3,57.7,62.0
265,2,3,3,62.8,62.0
266,5,4,2,58.1,61.0
267,5,2,4,62.8,57.0
268,5,4,4,60.9,60.0
269,5,3,7,59.2,60.0
270,3,1,5,61.8,58.0
271,4,6,2,61.1,57.0
272,4,6,5,62.2,58.0
273,2,6,7,60.9,61.0
274,5,7,2,62.4,58.0
275,5,7,2,61.9,58.0
276,4,4,3,62.5,56.0
277,2,4,4,63.7,57.0
278,4,2,4,62.5,56.0
279,3,7,3,62.1,61.0
280,1,6,2,64.6,59.0
281,5,6,4,62.4,58.0
282,4,5,6,61.9,54.8
283,3,6,3,62.6,59.0
284,4,3,2,61.0,56.0
285,5,4,2,62.3,58.0
286,2,5,4,60.8,61.0
287,5,3,3,59.5,58.0
288,5,5,6,61.0,59.0
289,3,6,4,62.9,56.0
290,5,6,7,60.7,58.0
291,4,6,4,62.6,56.0
292,5,6,2,61.7,58.0
293,3,6,3,63.6,57.9
294,3,6,2,63.0,57.0
295,3,2,5,63.8,59.0
296,2,4,4,58.2,66.0
297,5,3,3,62.2,60.0
298,4,7,2,61.7,56.0
