,carat,cut,color,clarity,depth,table,price
0,1.12,5,3,3,61.6,59.0,5363
1,1.14,3,6,2,60.0,54.0,5593
2,0.9,3,7,2,60.3,63.0,3534
3,0.71,4,6,5,61.9,54.0,3212
4,0.34,3,5,2,60.0,62.0,447
5,0.33,3,6,4,63.1,57.0,672
6,0.55,5,2,7,61.3,59.0,1593
7,1.19,5,7,2,58.8,58.0,5504
8,0.41,5,6,5,60.4,58.0,1079
9,0.3,5,4,2,62.5,59.0,394
10,0.7,3,7,3,59.4,63.0,2604
11,0.31,4,2,4,62.0,54.0,452
12,1.08,3,6,2,62.9,59.0,5018
13,0.48,4,3,6,62.5,56.0,1590
14,0.31,4,5,5,61.2,56.0,821
15,1.16,5,5,2,62.4,59.0,5164
16,0.78,3,6,5,60.0,56.0,3601
17,1.01,2,4,2,64.5,61.0,3895
18,1.1,4,3,2,62.0,56.5,5002
19,2.2,5,1,5,61.7,59.0,15201
20,0.51,4,4,5,60.2,56.0,1852
21,0.72,4,2,6,61.6,57.0,2602
22,1.0,4,6,4,62.1,56.0,6720
23,0.31,3,2,3,63.3,53.0,523
24,0.33,5,7,3,60.1,59.0,780
25,0.52,4,6,4,61.7,56.0,1708
26,1.21,4,7,3,63.0,57.0,7589
27,1.52,4,5,2,61.8,58.0,10316
28,0.35,4,4,6,62.1,56.0,798
29,1.06,4,2,3,61.2,56.0,4749
30,1.6,5,2,2,60.8,58.0,8630
31,1.09,4,3,3,62.4,55.0,4784
32,0.53,4,4,5,62.7,55.0,1721
33,0.32,4,7,2,59.8,57.0,612
34,1.2,3,5,3,63.5,57.0,6872
35,0.91,2,7,2,64.7,57.0,3763
36,1.01,4,1,5,61.2,57.0,4693
37,0.32,4,2,6,61.5,56.0,561
38,0.77,5,3,3,60.7,58.0,2369
39,0.72,3,6,3,60.0,57.0,2479
40,0.33,5,4,3,62.3,59.0,492
41,0.32,3,6,6,61.6,54.0,816
42,0.38,4,3,6,62.1,54.0,898
43,0.9,3,7,3,64.2,55.0,4523
44,1.33,5,3,4,60.7,59.0,7982
45,0.82,4,4,2,61.6,56.0,2692
46,0.34,4,3,6,61.4,56.0,852
47,1.51,2,4,3,63.1,56.0,9258
48,0.7,5,5,4,62.2,59.0,2648
49,0.32,4,3,7,61.3,57.0,821
50,0.57,5,2,2,62.1,57.0,1097
51,1.02,2,5,3,64.3,58.0,4936
52,0.9,4,3,3,62.8,57.0,3629
53,1.1,3,3,6,59.7,57.8,6497
54,0.7,2,6,4,59.2,64.0,2559
55,0.63,3,5,5,59.2,57.0,2149
56,0.72,4,5,5,61.7,56.0,3759
57,1.03,4,7,3,59.9,57.0,6460
58,0.58,3,3,4,61.2,55.8,1633
59,0.61,2,2,4,63.7,60.0,1239
60,1.0,5,3,3,62.8,58.0,4816
61,1.21,4,7,5,61.0,57.0,10335
62,0.72,4,6,7,61.4,57.0,4864
63,0.34,4,6,3,62.0,57.0,765
64,0.38,4,6,5,62.6,53.5,979
65,0.32,5,4,6,61.6,60.0,730
66,0.82,4,5,4,61.9,57.0,3453
67,1.03,3,4,5,62.2,57.0,6539
68,1.51,2,2,5,64.0,60.0,8975
69,1.2,5,4,2,59.9,59.0,5250
70,0.41,5,5,4,62.6,58.0,1107
71,1.01,5,5,6,60.4,59.0,9231
72,0.54,4,5,5,62.5,56.0,1819
73,0.71,4,6,2,62.7,56.0,2550
74,0.3,5,4,7,61.3,58.0,737
75,0.35,4,5,4,61.4,54.0,706
76,1.0,1,5,3,64.8,59.0,5292
77,1.17,5,3,4,62.4,57.0,6163
78,2.22,4,2,4,61.3,56.0,18363
79,0.79,5,6,2,61.0,58.0,2868
80,0.61,4,5,4,61.5,54.0,2306
81,1.09,4,4,4,61.2,56.0,7357
82,1.11,3,1,5,59.9,56.0,5576
83,0.7,5,4,5,58.3,58.0,2459
84,1.1,4,2,4,61.8,56.0,4962
85,1.1,5,4,3,59.6,60.0,4712
86,0.34,4,5,5,62.1,57.0,745
87,0.35,5,5,5,60.5,58.0,984
88,0.35,4,3,3,62.3,57.0,491
89,0.3,4,7,3,62.1,57.0,524
90,0.72,3,1,3,57.6,63.0,2123
91,0.79,5,5,2,62.2,57.0,2555
92,1.2,3,7,2,63.2,60.0,5174
93,0.52,3,4,4,63.2,58.0,1577
94,1.04,4,4,2,60.7,57.0,4455
95,0.43,2,4,3,63.6,55.0,903
96,0.92,5,7,2,62.5,55.0,4150
97,0.59,3,5,8,62.8,56.0,2554
98,0.52,4,4,5,61.8,55.0,1689
99,1.2,3,3,5,60.2,57.0,8039
100,0.9,3,2,4,62.1,61.0,3535
101,0.3,2,5,3,63.6,55.0,641
102,0.5,3,3,4,62.6,56.0,1349
103,1.15,5,4,7,60.8,58.0,9025
104,1.01,5,7,2,61.7,57.0,5006
105,0.27,4,3,4,60.5,57.0,509
106,1.5,2,6,3,63.0,54.0,11368
107,1.66,5,1,6,62.6,59.0,10062
108,1.88,2,1,2,57.9,59.0,8048
109,0.54,3,2,3,63.2,57.0,1135
110,0.33,5,4,7,62.8,59.0,1114
111,1.5,5,4,4,60.5,59.0,13112
112,0.73,4,4,3,61.7,57.0,3089
113,0.52,4,5,7,61.2,56.0,2841
114,0.24,3,7,6,61.5,61.0,485
115,1.09,4,6,4,60.6,57.0,8158
116,1.52,4,4,7,62.4,55.0,16104
117,0.58,4,4,2,62.2,55.0,1343
118,0.52,3,7,3,61.6,58.0,1429
119,0.73,4,5,5,62.6,56.0,3211
120,0.71,3,5,5,62.8,56.0,2889
121,0.82,4,3,6,61.4,56.0,3781
122,0.71,5,7,6,60.0,58.0,3618
123,0.74,4,4,5,61.5,56.0,3572
124,1.7,4,4,4,61.3,57.0,15797
125,0.32,4,5,4,62.4,55.0,828
126,1.01,2,7,3,64.1,60.0,4909
127,1.01,3,3,5,60.9,55.0,5687
128,0.71,4,5,5,62.6,57.0,3199
129,1.23,5,4,3,62.5,59.0,6909
130,0.41,4,5,5,62.0,57.0,1076
131,0.25,5,6,6,61.5,59.0,576
132,0.72,2,1,3,60.1,64.0,1663
133,1.07,4,3,4,62.0,57.0,5820
134,1.21,1,3,3,69.6,55.0,3862
135,0.4,3,5,3,62.8,59.0,737
136,0.9,3,5,2,63.4,60.0,3465
137,1.02,4,2,2,62.7,57.0,3913
138,0.71,5,6,2,60.5,59.0,2340
139,1.04,5,4,2,60.9,58.0,4277
140,1.21,3,1,4,60.9,58.0,4816
141,1.21,4,5,4,62.4,59.0,8691
142,0.33,5,7,4,61.1,56.0,1069
143,0.58,5,5,2,63.0,56.0,1226
144,1.0,2,6,3,61.1,58.0,6275
145,0.5,3,4,4,60.9,58.0,1351
146,0.32,4,6,4,62.1,55.0,768
147,1.01,3,3,3,63.0,57.0,5172
148,0.34,4,7,4,61.4,56.0,805
149,1.51,4,7,3,59.5,57.0,12738
150,1.01,5,4,6,63.0,61.0,7665
151,1.5,3,5,3,62.8,56.0,9904
152,0.32,5,4,4,62.1,60.0,720
153,0.62,4,4,5,62.4,57.0,2178
154,1.2,5,6,6,61.4,56.0,11435
155,0.3,5,6,7,61.3,59.0,895
156,0.41,5,3,3,62.6,59.0,876
157,0.51,4,5,6,61.9,56.0,2098
158,1.16,4,4,8,62.3,55.0,10082
159,1.01,5,4,4,61.6,60.0,6108
160,0.79,4,3,6,62.4,56.0,3417
161,0.37,5,6,4,61.1,57.0,1041
162,1.07,5,3,3,59.2,61.0,5237
163,0.31,5,3,4,62.2,59.0,628
164,1.54,3,3,4,62.1,62.0,11527
165,1.27,3,3,4,59.2,58.0,7176
166,1.03,5,6,2,61.8,59.0,4758
167,0.42,3,6,2,62.9,56.0,700
168,0.52,4,5,6,62.5,57.0,2064
169,0.34,4,5,7,61.6,56.0,1174
170,0.57,5,2,7,62.1,58.0,1608
171,1.18,4,7,3,61.9,55.0,7216
172,0.4,5,7,4,61.7,59.0,982
173,1.06,4,2,5,62.0,55.0,5577
174,0.8,2,6,5,60.2,54.0,4444
175,0.32,5,6,7,61.8,59.0,1020
176,0.26,4,3,6,62.5,54.0,508
177,1.74,5,7,2,61.9,58.0,12052
178,0.7,5,7,5,61.6,61.0,3001
179,0.9,3,2,2,63.5,56.0,2826
180,1.63,3,6,4,61.8,58.0,13555
181,0.51,5,5,3,59.4,60.0,1308
182,0.42,4,6,7,59.7,56.0,1307
183,0.41,4,5,2,61.6,54.0,612
184,0.31,4,2,7,61.3,56.0,557
185,0.45,4,2,5,62.1,55.0,825
186,1.07,5,4,4,62.5,57.0,6644
